title,movieId,rating
Southpaw,139642,
American Psycho,3535,
Platoon,1090,
The Butterfly Effect,7254,
Philadelphia,508,
American Gangster,55765,
Zodiac,51540,
The Book Thief,106441,
Fantastic Mr. Fox,72226,
Despicable Me,79091,5
(500) Days of Summer,69757,
Anastasia,1688,
Creed,146656,
Lost in Translation,6711,
The Last Samurai,7143,
The Bourne Supremacy,8665,
In Bruges,57669,
Sin City,32587,
X-Men: First Class,87232,
Bridge of Spies,143385,
Lucky Number Slevin,44665,
The Hobbit: The Battle of the Five Armies,118696,4.5
The Blues Brothers,1220,
I Origins,112804,
Blow,4239,
Kick-Ass,76251,
Per un pugno di dollari,2951,
Wreck-It Ralph,97913,
Moulin Rouge!,4308,
10 Things I Hate About You,2572,
The Royal Tenenbaums,4979,
The Girl with the Dragon Tattoo,91658,
Sicario,139644,
Serenity,34405,
A Walk to Remember,5066,
Training Day,4776,
Inside Man,44199,
Star Wars: Episode III - Revenge of the Sith,33493,4.5
Apollo 13,150,
Ice Age,5218,4.5
Man on Fire,7445,
Saw,8957,
Mary Poppins,1028,
Jackie Brown,1729,
Scott Pilgrim vs. the World,79702,
Argo,97304,
Donnie Brasco,1466,
The Social Network,80463,
崖の上のポニョ,65261,5
What's Eating Gilbert Grape,337,
Mission: Impossible - Rogue Nation,111781,4
The Hobbit: An Unexpected Journey,98809,4
Unbroken,118702,
Coraline,66097,
Corpse Bride,37729,4.5
The Equalizer,112171,
The Hurt Locker,69481,
Back to the Future Part III,2012,
Office Space,2502,
Atonement,55052,
Black Hawk Down,5010,
Rosemary's Baby,2160,
Indiana Jones and the Temple of Doom,2115,
Halloween,1982,
Source Code,85414,
Ant-Man,122900,3.5
Sherlock Holmes,73017,
Minority Report,5445,
Begin Again,111622,
The Machinist,8950,
The Maze Runner,114180,4
True Grit,82459,
Pirates of the Caribbean: Dead Man's Chest,45722,
Saving Mr. Banks,107141,
Apocalypto,48304,
300,51662,
Fast Five,86644,
Home Alone,586,4.5
The Blind Side,72641,
Grease,1380,
Despicable Me 2,103335,4
The Sound of Music,1035,5
Maleficent,111659,
The Man from U.N.C.L.E.,138036,
Rise of the Planet of the Apes,88744,4
Interview with the Vampire,253,4.5
Changeling,63062,
The Emperor's New Groove,4016,
First Blood,2403,
Law Abiding Citizen,71838,
The Fighter,81932,
"O Brother, Where Art Thou?",4027,
